paths,coordinates,class
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1576,1276",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1636,836",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"946,3476",0.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1316,1256",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"716,1406",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2276,3996",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4166,4396",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"3056,1216",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2316,1196",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"2156,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1476,1896",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1916,1496",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1056,2796",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1136,3636",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2076,956",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1996,1256",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1036,1616",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1196,3376",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1916,1316",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2096,716",0.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1196,2596",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1176,1866",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1866,1866",0.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1456,1376",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"1976,836",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1256,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1656,976",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4096,1196",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"516,2136",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2256,1916",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3456,3696",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1236,1696",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2096,1216",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1176,1936",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"916,3076",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1656,1076",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1756,816",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3016,3496",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1176,1696",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"496,2536",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4396,996",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2316,1376",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1556,1176",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1076,456",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"716,2556",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"716,2556",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1866,256",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1536,3616",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1056,1416",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1376,1176",1.0
C:/Users/william/Desktop/data_/train\images\20200331.tif,"716,2326",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1156,1956",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1316,1396",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"916,2836",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1736,1816",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"836,1696",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1396,3876",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1636,676",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1656,3956",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1656,1236",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1596,3636",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1636,4166",0.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1996,976",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"336,1856",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1636,1636",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3936,2516",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2396,956",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2016,936",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"2116,1236",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1596,2076",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2036,1236",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2326,2326",0.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1536,1536",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"696,1736",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1516,2056",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2616,996",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1096,1496",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2256,1776",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"4640,1176",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1276,3716",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1376,1336",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1896,1236",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"716,1636",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1796,1096",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2416,1576",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1056,1516",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1376,1496",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"436,2316",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"2076,1556",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"496,2216",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1316,2416",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3276,3756",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1996,396",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"2076,1416",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1406,1636",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"576,2096",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1116,1776",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1376,1336",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1406,4856",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2776,716",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2016,3876",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"256,3246",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1976,1096",1.0
C:/Users/william/Desktop/data_/train\images\20200331.tif,"1636,3016",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"876,2336",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1896,3756",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1536,1516",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1036,1856",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2856,916",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2056,1036",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1516,856",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3336,3756",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1316,3716",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1676,1376",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2636,776",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3976,2016",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2156,1016",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2896,816",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1976,776",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"256,2786",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1996,1276",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1476,1216",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1816,816",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2736,1096",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1456,1096",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"2256,1616",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2316,1936",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2496,1036",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2256,4036",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1476,1676",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"1856,1196",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1356,1096",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1276,396",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1696,1916",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3996,2096",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"996,2936",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2336,1856",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1736,1396",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1776,1656",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"1956,1036",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1996,1356",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2976,976",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1636,1676",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1776,936",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"946,1406",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2316,1176",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1236,1856",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1576,956",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1756,1336",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"516,2296",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"656,3276",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2396,3716",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2136,1076",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1576,556",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4156,1576",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1076,2816",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1336,1236",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"1406,4166",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1236,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3976,2776",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1416,1216",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1976,1216",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1756,3556",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1836,1076",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1376,1576",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1596,3876",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2816,696",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1176,716",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2236,1076",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1776,3896",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1436,1276",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"2016,976",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4436,1116",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"656,2816",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3396,3616",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3516,3456",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"946,1176",0.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1956,836",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"576,2676",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2036,1676",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1136,1916",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2136,636",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1196,1516",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1136,2996",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2036,796",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1236,2016",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2176,596",1.0
